Time,Linaer Not Recursive List,Linear Recursive List,Binary Not Recursive,Binary Not Recursive with List,Binary Recursive,Binary Recursive with List
0,88  ,100 ,3100,6300,4400,2800
50,180 ,68  ,2300,2200,2700,2200
100,136 ,144 ,2400,2500,2800,2300
150,220 ,156 ,2700,2000,2800,2400
200,220 ,132 ,2000,1700,2900,1900
250,220 ,140 ,2600,1700,2900,2200
300,276 ,128 ,3200,2300,4000,2000
350,188 ,172 ,2200,1400,3400,1800
400,392 ,188 ,3600,2400,3200,3300
450,348 ,188 ,3100,2000,2600,2100
500,312 ,188 ,2200,1800,2100,2100
550,396 ,208 ,2600,1900,3000,1900
600,916 ,248 ,2800,1900,2200,1900
650,380 ,208 ,2900,1900,2800,2000
700,628 ,300 ,3100,2300,3600,2600
750,708 ,324 ,4000,1500,2200,2000
800,800 ,292 ,3000,2200,2500,2100
850,492 ,276 ,2700,2500,3100,2300
900,916 ,320 ,2800,2000,2900,1900
950,740 ,524 ,4600,2700,2900,2500
1000,1288,428 ,2900,2200,2800,2400
1050,648 ,320 ,4300,3900,2400,3800
1100,852 ,344 ,3100,2000,3600,2700
1150,668 ,356 ,2600,1900,2800,1800
1200,784 ,460 ,2800,2300,2700,2200
1250,592 ,400 ,3900,2100,3200,2000
1300,1088,524 ,3900,3300,2700,3400
1350,1072,572 ,2700,1900,3300,2500
1400,1416,428 ,2500,1900,3000,2100
1450,864 ,460 ,2300,2000,2100,2000
1500,692 ,400 ,2600,2300,2400,1900
1550,780 ,396 ,2600,2300,2400,2100
1600,860 ,480 ,2500,2000,2600,2300
1650,812 ,408 ,2500,1800,4100,2100
1700,840 ,460 ,2300,2100,2700,2300
1750,924 ,504 ,2500,2200,2700,2200
1800,1388,644 ,3400,2100,2900,2300
1850,1504,840 ,3100,2400,2600,2200
1900,1060,496 ,3300,2700,2900,1800
1950,1016,536 ,2600,2200,3100,2300
2000,1156,520 ,2500,3800,3900,2100
2050,1192,656 ,2700,2300,2600,2300
2100,1248,636 ,2900,2000,2800,1900
2150,1056,492 ,2500,2200,3300,1700
2200,1248,604 ,5200,2100,2800,2400
2250,1216,612 ,2500,2400,3100,2100
2300,1180,596 ,2900,2200,2500,2300
2350,1252,648 ,2400,2000,2700,2100
2400,1176,668 ,2700,2100,2800,2200
2450,1216,520 ,2500,2100,4400,2300
2500,2392,1100,2800,2300,3400,2200
2550,2288,612 ,3400,3000,3200,2400
2600,2348,844 ,2600,2300,3400,4400
2650,1772,984 ,4000,2700,3100,2200
2700,2028,772 ,3000,2200,2800,2300
2750,1820,1028,2900,2100,4100,3200
2800,1608,664 ,3800,2100,3000,2300
2850,2476,780 ,2300,2300,3300,2500
2900,2616,880 ,2400,1900,2800,3500
2950,1636,900 ,2400,13100,2900,2700
3000,1620,832 ,2500,2100,3100,2300
3050,1908,1040,2300,2100,2600,2000
3100,2168,1164,3100,2500,2600,2200
3150,1708,760 ,3400,2900,2800,4100
3200,2492,876 ,2600,2100,2800,2600
3250,2344,1120,2600,2200,3400,2100
3300,2184,1104,2600,2200,2700,2200
3350,3388,1616,18300,2600,3100,2000
3400,1924,904 ,2400,2000,3800,2100
3450,2444,912 ,3000,3600,2600,2200
3500,2496,892 ,4300,2300,2500,2000
3550,1712,768 ,3400,2100,3000,2600
3600,4648,1900,2400,2900,3000,2900
3650,3644,1176,3200,2400,2200,4300
3700,2312,824 ,2800,2900,2500,2300
3750,2168,816 ,2400,2500,2700,3300
3800,2336,980 ,3500,2400,4400,2300
3850,4540,1880,2800,5600,5300,2700
3900,3468,1168,2900,2600,3900,2400
3950,2304,1464,2600,2200,2600,2200
4000,4044,1668,3900,2600,3600,2800
4050,2692,940 ,2800,2400,3200,3600
4100,3656,1972,2800,2200,2700,2400
4150,3100,1708,2800,1500,2600,2000
4200,4148,1580,2500,1700,1900,2300
4250,2620,1132,2600,4100,3100,3900
4300,2668,1572,2700,5000,3100,2300
4350,2728,1748,3000,2300,3100,2200
4400,3608,1688,3100,3900,2600,1500
4450,3772,1964,3000,2500,5500,4000
4500,3084,1528,2600,2000,4700,2500
4550,3268,1320,3400,2200,2700,2000
4600,2976,2164,4900,2300,2900,2200
4650,2592,1672,4100,3800,3900,2900
4700,3844,1612,3000,2200,2700,3000
4750,4088,2132,2700,2300,4700,2500
4800,4108,1432,2500,2200,4300,2400
4850,2548,1712,2800,1800,2800,2300
4900,5932,1900,2700,2200,3500,2600
4950,5816,2040,2700,2400,4200,2100
5000,3404,1200,2200,2100,3000,2200
5050,2668,1056,2800,2100,3000,2000
5100,3232,1876,2500,3400,3000,3200
5150,3448,1456,3000,2300,3600,2300
5200,3780,2036,2900,2000,2700,2300
5250,2504,1084,2400,2100,2800,21800
5300,4396,2008,2800,2100,10300,2600
5350,3836,4740,2700,2700,3800,2300
5400,5540,2268,3100,2900,3100,2500
5450,8044,3172,2300,2000,3500,2100
5500,4588,1864,2600,4800,3300,2600
5550,5156,2192,3300,2400,2200,1800
5600,2788,1496,3300,1900,4500,3800
5650,4224,1368,4600,3500,2800,3800
5700,4896,2432,2600,2100,2800,2300
5750,3360,2204,3700,2100,3100,2300
5800,4252,2020,2800,2600,3200,4000
5850,4692,2120,2500,2200,2600,3000
5900,4692,2148,3100,2100,2300,2200
5950,3208,2024,2700,2400,2400,2300
6000,5204,2472,3400,2200,2900,2800
6050,4768,2760,2700,2200,2700,2200
6100,4848,2260,3400,2600,2600,2300
