Index, DIY Quicksort, qsort, bubblesort
1,13892,10914,772098,
2,12341,9986,465378,
3,12834,10216,437740,
4,13149,10034,360784,
5,13203,11092,513122,
6,12464,10068,109070,
7,14057,10454,927217,
8,12488,9976,139231,
9,14286,10218,688999,
10,12393,9953,526979,
11,12801,9994,15571,
12,13535,11036,196793,
13,12050,10156,516456,
14,12715,9978,356785,
15,12491,9946,733170,
16,12757,9883,508719,
17,13799,10378,760179,
18,12793,11042,207535,
19,12544,10299,189774,
20,12644,11051,104640,
21,13257,10990,252333,
22,12419,10283,636584,
23,12755,10538,445099,
24,12508,9858,905901,
25,12945,10377,584495,
26,12446,10378,836569,
27,12205,10335,385831,
28,12859,10481,461559,
29,12457,10288,889645,
30,13038,10615,197887,
31,13111,10220,650123,
32,13012,12702,803697,
33,12732,10147,594052,
34,12941,11256,669897,
35,13142,12530,429445,
36,12616,10105,443019,
37,13844,10808,861847,
38,12253,10136,54136,
39,13271,10690,793726,
40,14075,10486,803525,
41,12322,9892,961501,
42,12543,10412,343109,
43,12395,12464,156385,
44,12317,10428,187247,
45,12289,10262,877386,
46,12844,10370,210867,
47,13207,10750,47448,
48,11994,9936,163208,
49,12931,12365,31366,
50,13167,10298,41196,
51,12703,10291,585566,
52,12222,10576,309789,
53,12408,10691,460481,
54,12202,11668,189626,
55,12663,10090,150861,
56,12187,10560,912892,
57,12233,10468,799071,
58,12674,10726,529011,
59,12071,10225,667966,
60,13337,10464,105750,
61,14554,10460,477856,
62,12541,10628,733617,
63,15670,11294,664438,
64,12609,10117,577012,
65,13005,13148,58428,
66,12624,10241,581048,
67,12012,10786,681594,
68,12663,10853,454442,
69,12423,10013,534974,
70,12627,9911,433609,
71,12330,10293,510588,
72,12238,10515,529948,
73,12379,10206,285294,
74,12781,10228,576439,
75,12212,10560,554408,
76,12507,10074,681671,
77,12149,10249,706797,
78,12168,10123,945365,
79,12827,10645,694145,
80,13350,10302,542095,
81,13149,10654,222669,
82,13277,10305,597903,
83,12287,10492,422054,
84,12275,10413,647602,
85,12432,10853,819661,
86,12650,11500,831574,
87,12346,10396,537202,
88,12789,10540,481577,
89,12962,10170,455484,
90,12364,10487,477566,
91,12438,10226,777113,
92,12231,10097,601923,
93,12433,10235,380651,
94,13029,10555,235098,
95,13278,10008,588243,
96,12462,10022,537551,
97,13364,9945,466773,
98,12637,9948,882284,
99,12498,10280,479126,
100,12214,10352,644978,
