Index, DIY Quicksort, qsort, bubblesort
1,12382,9570,273453,
2,12375,10511,849568,
3,13004,10574,331936,
4,12754,10977,29104,
5,13527,11525,510473,
6,12145,10814,301521,
7,13753,11023,547950,
8,12461,10074,23125,
9,13796,10766,743512,
10,14081,10528,802407,
11,14628,11550,905721,
12,12037,12384,193740,
13,12456,10650,891831,
14,12389,10284,28473,
15,13393,10517,171273,
16,12981,11249,303160,
17,13037,10505,259090,
18,12110,10582,114191,
19,13907,11040,339554,
20,13346,10290,225705,
21,13461,11875,151713,
22,12200,10699,200893,
23,11449,9395,451219,
24,12254,11005,777683,
25,12466,9998,790487,
26,12231,11313,823919,
27,12982,10399,916962,
28,13954,11204,854997,
29,12257,11386,234550,
30,13736,11335,517820,
31,12179,10505,610186,
32,12298,11290,690471,
33,12673,12823,74002,
34,13279,11253,174110,
35,12592,11367,975885,
36,13297,11657,944500,
37,12119,10089,639572,
38,11998,10268,535333,
39,12144,10371,426761,
40,12144,10343,36346,
41,13124,13014,180723,
42,12576,10615,18411,
43,13364,10714,335457,
44,12297,10472,157622,
45,14001,11039,91686,
46,12871,10684,43742,
47,12091,10460,920604,
48,12116,10517,321030,
49,11918,10272,287186,
50,12661,10800,103417,
